name1,name2,date,case_day_minus_0,case_day_minus_1,case_day_minus_2,case_day_minus_3,case_day_minus_4,case_day_minus_5,case_day_minus_6,case_day_minus_7,case_day_minus_8,case_day_minus_9
Adygea_Republic__Russia,XXX,2020.10.13,4601,4556,4513,4475,4434,4392,4348,4308,4266,4227
Adygea_Republic__Russia,XXX,2020.10.12,4556,4513,4475,4434,4392,4348,4308,4266,4227,4186
Adygea_Republic__Russia,XXX,2020.10.11,4513,4475,4434,4392,4348,4308,4266,4227,4186,4149
Adygea_Republic__Russia,XXX,2020.10.10,4475,4434,4392,4348,4308,4266,4227,4186,4149,4114
Adygea_Republic__Russia,XXX,2020.10.09,4434,4392,4348,4308,4266,4227,4186,4149,4114,4080
Adygea_Republic__Russia,XXX,2020.10.08,4392,4348,4308,4266,4227,4186,4149,4114,4080,4051
Adygea_Republic__Russia,XXX,2020.10.07,4348,4308,4266,4227,4186,4149,4114,4080,4051,4019
Adygea_Republic__Russia,XXX,2020.10.06,4308,4266,4227,4186,4149,4114,4080,4051,4019,3989
Adygea_Republic__Russia,XXX,2020.10.05,4266,4227,4186,4149,4114,4080,4051,4019,3989,3956
Adygea_Republic__Russia,XXX,2020.10.04,4227,4186,4149,4114,4080,4051,4019,3989,3956,3925
Adygea_Republic__Russia,XXX,2020.10.03,4186,4149,4114,4080,4051,4019,3989,3956,3925,3897
Adygea_Republic__Russia,XXX,2020.10.02,4149,4114,4080,4051,4019,3989,3956,3925,3897,3873
Adygea_Republic__Russia,XXX,2020.10.01,4114,4080,4051,4019,3989,3956,3925,3897,3873,3847
Adygea_Republic__Russia,XXX,2020.09.30,4080,4051,4019,3989,3956,3925,3897,3873,3847,3824
Adygea_Republic__Russia,XXX,2020.09.29,4051,4019,3989,3956,3925,3897,3873,3847,3824,3799
Adygea_Republic__Russia,XXX,2020.09.28,4019,3989,3956,3925,3897,3873,3847,3824,3799,3775
Adygea_Republic__Russia,XXX,2020.09.27,3989,3956,3925,3897,3873,3847,3824,3799,3775,3753
Adygea_Republic__Russia,XXX,2020.09.26,3956,3925,3897,3873,3847,3824,3799,3775,3753,3730
Adygea_Republic__Russia,XXX,2020.09.25,3925,3897,3873,3847,3824,3799,3775,3753,3730,3710
Adygea_Republic__Russia,XXX,2020.09.24,3897,3873,3847,3824,3799,3775,3753,3730,3710,3689
Adygea_Republic__Russia,XXX,2020.09.23,3873,3847,3824,3799,3775,3753,3730,3710,3689,3669
Adygea_Republic__Russia,XXX,2020.09.22,3847,3824,3799,3775,3753,3730,3710,3689,3669,3650
Adygea_Republic__Russia,XXX,2020.09.21,3824,3799,3775,3753,3730,3710,3689,3669,3650,3630
Adygea_Republic__Russia,XXX,2020.09.20,3799,3775,3753,3730,3710,3689,3669,3650,3630,3609
Adygea_Republic__Russia,XXX,2020.09.19,3775,3753,3730,3710,3689,3669,3650,3630,3609,3587
Adygea_Republic__Russia,XXX,2020.09.18,3753,3730,3710,3689,3669,3650,3630,3609,3587,3567
Adygea_Republic__Russia,XXX,2020.09.17,3730,3710,3689,3669,3650,3630,3609,3587,3567,3546
Adygea_Republic__Russia,XXX,2020.09.16,3710,3689,3669,3650,3630,3609,3587,3567,3546,3522
Adygea_Republic__Russia,XXX,2020.09.15,3689,3669,3650,3630,3609,3587,3567,3546,3522,3500
Adygea_Republic__Russia,XXX,2020.09.14,3669,3650,3630,3609,3587,3567,3546,3522,3500,3480
Adygea_Republic__Russia,XXX,2020.09.13,3650,3630,3609,3587,3567,3546,3522,3500,3480,3461
Adygea_Republic__Russia,XXX,2020.09.12,3630,3609,3587,3567,3546,3522,3500,3480,3461,3440
Adygea_Republic__Russia,XXX,2020.09.11,3609,3587,3567,3546,3522,3500,3480,3461,3440,3420
Adygea_Republic__Russia,XXX,2020.09.10,3587,3567,3546,3522,3500,3480,3461,3440,3420,3405
Adygea_Republic__Russia,XXX,2020.09.09,3567,3546,3522,3500,3480,3461,3440,3420,3405,3386
Adygea_Republic__Russia,XXX,2020.09.08,3546,3522,3500,3480,3461,3440,3420,3405,3386,3364
Adygea_Republic__Russia,XXX,2020.09.07,3522,3500,3480,3461,3440,3420,3405,3386,3364,3346
Adygea_Republic__Russia,XXX,2020.09.06,3500,3480,3461,3440,3420,3405,3386,3364,3346,3327
Adygea_Republic__Russia,XXX,2020.09.05,3480,3461,3440,3420,3405,3386,3364,3346,3327,3308
Adygea_Republic__Russia,XXX,2020.09.04,3461,3440,3420,3405,3386,3364,3346,3327,3308,3291
Adygea_Republic__Russia,XXX,2020.09.03,3440,3420,3405,3386,3364,3346,3327,3308,3291,3273
Adygea_Republic__Russia,XXX,2020.09.02,3420,3405,3386,3364,3346,3327,3308,3291,3273,3254
Adygea_Republic__Russia,XXX,2020.09.01,3405,3386,3364,3346,3327,3308,3291,3273,3254,3234
Adygea_Republic__Russia,XXX,2020.08.31,3386,3364,3346,3327,3308,3291,3273,3254,3234,3214
Adygea_Republic__Russia,XXX,2020.08.30,3364,3346,3327,3308,3291,3273,3254,3234,3214,3195
Adygea_Republic__Russia,XXX,2020.08.29,3346,3327,3308,3291,3273,3254,3234,3214,3195,3179
Adygea_Republic__Russia,XXX,2020.08.28,3327,3308,3291,3273,3254,3234,3214,3195,3179,3161
Adygea_Republic__Russia,XXX,2020.08.27,3308,3291,3273,3254,3234,3214,3195,3179,3161,3144
Adygea_Republic__Russia,XXX,2020.08.26,3291,3273,3254,3234,3214,3195,3179,3161,3144,3129
Adygea_Republic__Russia,XXX,2020.08.25,3273,3254,3234,3214,3195,3179,3161,3144,3129,3113
Adygea_Republic__Russia,XXX,2020.08.24,3254,3234,3214,3195,3179,3161,3144,3129,3113,3095
