target,name1,name2,date,case_day_minus_0,case_day_minus_1,case_day_minus_2,case_day_minus_3,case_day_minus_4,case_day_minus_5,case_day_minus_6,case_day_minus_7,case_day_minus_8,case_day_minus_9
38,Adygea_Republic__Russia,XXX,2020.10.11,38,38,36,36,36,35,35,35,35,33
38,Adygea_Republic__Russia,XXX,2020.10.10,38,36,36,36,35,35,35,35,33,33
38,Adygea_Republic__Russia,XXX,2020.10.09,36,36,36,35,35,35,35,33,33,33
38,Adygea_Republic__Russia,XXX,2020.10.08,36,36,35,35,35,35,33,33,33,33
36,Adygea_Republic__Russia,XXX,2020.10.07,36,35,35,35,35,33,33,33,33,31
36,Adygea_Republic__Russia,XXX,2020.10.06,35,35,35,35,33,33,33,33,31,31
36,Adygea_Republic__Russia,XXX,2020.10.05,35,35,35,33,33,33,33,31,31,31
35,Adygea_Republic__Russia,XXX,2020.10.04,35,35,33,33,33,33,31,31,31,31
35,Adygea_Republic__Russia,XXX,2020.10.03,35,33,33,33,33,31,31,31,31,31
35,Adygea_Republic__Russia,XXX,2020.10.02,33,33,33,33,31,31,31,31,31,31
35,Adygea_Republic__Russia,XXX,2020.10.01,33,33,33,31,31,31,31,31,31,31
33,Adygea_Republic__Russia,XXX,2020.09.30,33,33,31,31,31,31,31,31,31,31
33,Adygea_Republic__Russia,XXX,2020.09.29,33,31,31,31,31,31,31,31,31,31
33,Adygea_Republic__Russia,XXX,2020.09.28,31,31,31,31,31,31,31,31,31,31
33,Adygea_Republic__Russia,XXX,2020.09.27,31,31,31,31,31,31,31,31,31,31
31,Adygea_Republic__Russia,XXX,2020.09.26,31,31,31,31,31,31,31,31,31,30
31,Adygea_Republic__Russia,XXX,2020.09.25,31,31,31,31,31,31,31,31,30,30
31,Adygea_Republic__Russia,XXX,2020.09.24,31,31,31,31,31,31,31,30,30,30
31,Adygea_Republic__Russia,XXX,2020.09.23,31,31,31,31,31,31,30,30,30,30
31,Adygea_Republic__Russia,XXX,2020.09.22,31,31,31,31,31,30,30,30,30,30
31,Adygea_Republic__Russia,XXX,2020.09.21,31,31,31,31,30,30,30,30,30,30
31,Adygea_Republic__Russia,XXX,2020.09.20,31,31,31,30,30,30,30,30,30,30
31,Adygea_Republic__Russia,XXX,2020.09.19,31,31,30,30,30,30,30,30,30,30
31,Adygea_Republic__Russia,XXX,2020.09.18,31,30,30,30,30,30,30,30,30,30
31,Adygea_Republic__Russia,XXX,2020.09.17,30,30,30,30,30,30,30,30,30,30
31,Adygea_Republic__Russia,XXX,2020.09.16,30,30,30,30,30,30,30,30,30,30
30,Adygea_Republic__Russia,XXX,2020.09.15,30,30,30,30,30,30,30,30,30,29
30,Adygea_Republic__Russia,XXX,2020.09.14,30,30,30,30,30,30,30,30,29,29
30,Adygea_Republic__Russia,XXX,2020.09.13,30,30,30,30,30,30,30,29,29,28
30,Adygea_Republic__Russia,XXX,2020.09.12,30,30,30,30,30,30,29,29,28,27
30,Adygea_Republic__Russia,XXX,2020.09.11,30,30,30,30,30,29,29,28,27,27
30,Adygea_Republic__Russia,XXX,2020.09.10,30,30,30,30,29,29,28,27,27,27
30,Adygea_Republic__Russia,XXX,2020.09.09,30,30,30,29,29,28,27,27,27,27
30,Adygea_Republic__Russia,XXX,2020.09.08,30,30,29,29,28,27,27,27,27,27
30,Adygea_Republic__Russia,XXX,2020.09.07,30,29,29,28,27,27,27,27,27,27
30,Adygea_Republic__Russia,XXX,2020.09.06,29,29,28,27,27,27,27,27,27,27
30,Adygea_Republic__Russia,XXX,2020.09.05,29,28,27,27,27,27,27,27,27,26
29,Adygea_Republic__Russia,XXX,2020.09.04,28,27,27,27,27,27,27,27,26,26
29,Adygea_Republic__Russia,XXX,2020.09.03,27,27,27,27,27,27,27,26,26,26
28,Adygea_Republic__Russia,XXX,2020.09.02,27,27,27,27,27,27,26,26,26,25
27,Adygea_Republic__Russia,XXX,2020.09.01,27,27,27,27,27,26,26,26,25,25
27,Adygea_Republic__Russia,XXX,2020.08.31,27,27,27,27,26,26,26,25,25,25
27,Adygea_Republic__Russia,XXX,2020.08.30,27,27,27,26,26,26,25,25,25,25
27,Adygea_Republic__Russia,XXX,2020.08.29,27,27,26,26,26,25,25,25,25,24
27,Adygea_Republic__Russia,XXX,2020.08.28,27,26,26,26,25,25,25,25,24,24
27,Adygea_Republic__Russia,XXX,2020.08.27,26,26,26,25,25,25,25,24,24,24
27,Adygea_Republic__Russia,XXX,2020.08.26,26,26,25,25,25,25,24,24,24,23
26,Adygea_Republic__Russia,XXX,2020.08.25,26,25,25,25,25,24,24,24,23,23
26,Adygea_Republic__Russia,XXX,2020.08.24,25,25,25,25,24,24,24,23,23,23
26,Adygea_Republic__Russia,XXX,2020.08.23,25,25,25,24,24,24,23,23,23,22
25,Adygea_Republic__Russia,XXX,2020.08.22,25,25,24,24,24,23,23,23,22,22
25,Adygea_Republic__Russia,XXX,2020.08.21,25,24,24,24,23,23,23,22,22,22
25,Adygea_Republic__Russia,XXX,2020.08.20,24,24,24,23,23,23,22,22,22,21
25,Adygea_Republic__Russia,XXX,2020.08.19,24,24,23,23,23,22,22,22,21,21
24,Adygea_Republic__Russia,XXX,2020.08.18,24,23,23,23,22,22,22,21,21,21
24,Adygea_Republic__Russia,XXX,2020.08.17,23,23,23,22,22,22,21,21,21,21
24,Adygea_Republic__Russia,XXX,2020.08.16,23,23,22,22,22,21,21,21,21,21
23,Adygea_Republic__Russia,XXX,2020.08.15,23,22,22,22,21,21,21,21,21,21
23,Adygea_Republic__Russia,XXX,2020.08.14,22,22,22,21,21,21,21,21,21,21
23,Adygea_Republic__Russia,XXX,2020.08.13,22,22,21,21,21,21,21,21,21,21
22,Adygea_Republic__Russia,XXX,2020.08.12,22,21,21,21,21,21,21,21,21,20
22,Adygea_Republic__Russia,XXX,2020.08.11,21,21,21,21,21,21,21,21,20,20
22,Adygea_Republic__Russia,XXX,2020.08.10,21,21,21,21,21,21,21,20,20,20
21,Adygea_Republic__Russia,XXX,2020.08.09,21,21,21,21,21,21,20,20,20,20
21,Adygea_Republic__Russia,XXX,2020.08.08,21,21,21,21,21,20,20,20,20,20
21,Adygea_Republic__Russia,XXX,2020.08.07,21,21,21,21,20,20,20,20,20,20
21,Adygea_Republic__Russia,XXX,2020.08.06,21,21,21,20,20,20,20,20,20,20
21,Adygea_Republic__Russia,XXX,2020.08.05,21,21,20,20,20,20,20,20,20,20
21,Adygea_Republic__Russia,XXX,2020.08.04,21,20,20,20,20,20,20,20,20,20
21,Adygea_Republic__Russia,XXX,2020.08.03,20,20,20,20,20,20,20,20,20,18
21,Adygea_Republic__Russia,XXX,2020.08.02,20,20,20,20,20,20,20,20,18,18
20,Adygea_Republic__Russia,XXX,2020.08.01,20,20,20,20,20,20,20,18,18,18
20,Adygea_Republic__Russia,XXX,2020.07.31,20,20,20,20,20,20,18,18,18,17
