name,name2,date
XXX,Adygea_Republic__Russia,2020.04.16
XXX,Altai_Krai__Russia,2020.04.25
XXX,Altai_Republic__Russia,2020.07.01
XXX,Amur_Oblast__Russia,2020.04.30
XXX,Arkhangelsk_Oblast__Russia,2020.04.20
XXX,Astrakhan_Oblast__Russia,2020.04.15
XXX,Bashkortostan_Republic__Russia,2020.04.12
XXX,Belgorod_Oblast__Russia,2020.04.15
XXX,Bryansk_Oblast__Russia,2020.04.17
XXX,Buryatia_Republic__Russia,2020.04.07
XXX,Chechen_Republic__Russia,2020.04.02
XXX,Chelyabinsk_Oblast__Russia,2020.04.29
XXX,Chukotka_Autonomous_Okrug__Russia,2020.05.23
XXX,Chuvashia_Republic__Russia,2020.04.16
XXX,Dagestan_Republic__Russia,2020.04.15
XXX,Ingushetia_Republic__Russia,2020.04.12
XXX,Irkutsk_Oblast__Russia,2020.04.07
XXX,Ivanovo_Oblast__Russia,2020.04.18
XXX,Jewish_Autonomous_Okrug__Russia,2020.05.09
XXX,Kabardino-Balkarian_Republic__Russia,2020.04.21
XXX,Kaliningrad_Oblast__Russia,2020.04.11
XXX,Kalmykia_Republic__Russia,2020.04.15
XXX,Kaluga_Oblast__Russia,2020.04.16
XXX,Kamchatka_Krai__Russia,2020.05.13
XXX,Karachay-Cherkess_Republic__Russia,2020.04.26
XXX,Karelia_Republic__Russia,2020.05.13
XXX,Kemerovo_Oblast__Russia,2020.04.18
XXX,Khabarovsk_Krai__Russia,2020.04.08
XXX,Khakassia_Republic__Russia,2020.04.24
XXX,Khanty-Mansi_Autonomous_Okrug__Russia,2020.04.22
XXX,Kirov_Oblast__Russia,2020.04.17
XXX,Komi_Republic__Russia,2020.04.03
XXX,Kostroma_Oblast__Russia,2020.04.04
XXX,Krasnodar_Krai__Russia,2020.04.07
XXX,Krasnoyarsk_Krai__Russia,2020.04.20
XXX,Kurgan_Oblast__Russia,2020.06.25
XXX,Kursk_Oblast__Russia,2020.04.16
XXX,Leningrad_Oblast__Russia,2020.04.29
XXX,Lipetsk_Oblast__Russia,2020.04.19
XXX,Magadan_Oblast__Russia,2020.04.28
XXX,Mari_El_Republic__Russia,2020.04.10
XXX,Mordovia_Republic__Russia,2020.04.16
XXX,Moscow_Oblast__Russia,2020.04.01
XXX,Moscow__Russia,2020.03.26
XXX,Murmansk_Oblast__Russia,2020.04.13
XXX,Nenets_Autonomous_Okrug__Russia,2020.01.21
XXX,Nizhny_Novgorod_Oblast__Russia,2020.04.10
XXX,North_Ossetia_-_Alania_Republic__Russia,2020.04.08
XXX,Novgorod_Oblast__Russia,2020.04.18
XXX,Novosibirsk_Oblast__Russia,2020.04.16
XXX,Omsk_Oblast__Russia,2020.04.25
XXX,Orel_Oblast__Russia,2020.04.18
XXX,Orenburg_Oblast__Russia,2020.03.29
XXX,Penza_Oblast__Russia,2020.03.31
XXX,Perm_Krai__Russia,2020.04.02
XXX,Primorsky_Krai__Russia,2020.04.04
XXX,Pskov_Oblast__Russia,2020.03.30
XXX,Republic_of_Crimea__Russia,2020.05.07
XXX,Rostov_Oblast__Russia,2020.04.26
XXX,Ryazan_Oblast__Russia,2020.04.27
XXX,Saint_Petersburg__Russia,2020.03.29
XXX,Sakha_(Yakutiya)_Republic__Russia,2020.04.27
XXX,Sakhalin_Oblast__Russia,2020.01.21
XXX,Samara_Oblast__Russia,2020.04.26
XXX,Saratov_Oblast__Russia,2020.04.25
XXX,Sevastopol__Russia,2020.05.02
XXX,Smolensk_Oblast__Russia,2020.04.12
XXX,Stavropol_Krai__Russia,2020.04.10
XXX,Sverdlovsk_Oblast__Russia,2020.04.18
XXX,Tambov_Oblast__Russia,2020.04.25
XXX,Tatarstan_Republic__Russia,2020.04.29
XXX,Tomsk_Oblast__Russia,2020.05.01
XXX,Tula_Oblast__Russia,2020.04.21
XXX,Tver_Oblast__Russia,2020.04.26
XXX,Tyumen_Oblast__Russia,2020.04.15
XXX,Tyva_Republic__Russia,2020.05.13
XXX,Udmurt_Republic__Russia,2020.04.17
XXX,Ulyanovsk_Oblast__Russia,2020.04.17
XXX,Vladimir_Oblast__Russia,2020.03.31
XXX,Volgograd_Oblast__Russia,2020.04.18
XXX,Vologda_Oblast__Russia,2020.05.06
XXX,Voronezh_Oblast__Russia,2020.04.14
XXX,Yamalo-Nenets_Autonomous_Okrug__Russia,2020.04.10
XXX,Yaroslavl_Oblast__Russia,2020.04.23
XXX,Zabaykalsky_Krai__Russia,2020.05.12
