name,date,cases
Adygea_Republic__Russia,2020.01.22,0
Adygea_Republic__Russia,2020.01.23,0
Adygea_Republic__Russia,2020.01.24,0
Adygea_Republic__Russia,2020.01.25,0
Adygea_Republic__Russia,2020.01.26,0
Adygea_Republic__Russia,2020.01.27,0
Adygea_Republic__Russia,2020.01.28,0
Adygea_Republic__Russia,2020.01.29,0
Adygea_Republic__Russia,2020.01.30,0
Adygea_Republic__Russia,2020.01.31,0
Adygea_Republic__Russia,2020.02.01,0
Adygea_Republic__Russia,2020.02.02,0
Adygea_Republic__Russia,2020.02.03,0
Adygea_Republic__Russia,2020.02.04,0
Adygea_Republic__Russia,2020.02.05,0
Adygea_Republic__Russia,2020.02.06,0
Adygea_Republic__Russia,2020.02.07,0
Adygea_Republic__Russia,2020.02.08,0
Adygea_Republic__Russia,2020.02.09,0
Adygea_Republic__Russia,2020.02.10,0
Adygea_Republic__Russia,2020.02.11,0
Adygea_Republic__Russia,2020.02.12,0
Adygea_Republic__Russia,2020.02.13,0
Adygea_Republic__Russia,2020.02.14,0
Adygea_Republic__Russia,2020.02.15,0
Adygea_Republic__Russia,2020.02.16,0
Adygea_Republic__Russia,2020.02.17,0
Adygea_Republic__Russia,2020.02.18,0
Adygea_Republic__Russia,2020.02.19,0
Adygea_Republic__Russia,2020.02.20,0
Adygea_Republic__Russia,2020.02.21,0
Adygea_Republic__Russia,2020.02.22,0
Adygea_Republic__Russia,2020.02.23,0
Adygea_Republic__Russia,2020.02.24,0
Adygea_Republic__Russia,2020.02.25,0
Adygea_Republic__Russia,2020.02.26,0
Adygea_Republic__Russia,2020.02.27,0
Adygea_Republic__Russia,2020.02.28,0
Adygea_Republic__Russia,2020.02.29,0
Adygea_Republic__Russia,2020.03.01,0
Adygea_Republic__Russia,2020.03.02,0
Adygea_Republic__Russia,2020.03.03,0
Adygea_Republic__Russia,2020.03.04,0
Adygea_Republic__Russia,2020.03.05,0
Adygea_Republic__Russia,2020.03.06,0
Adygea_Republic__Russia,2020.03.07,0
Adygea_Republic__Russia,2020.03.08,0
Adygea_Republic__Russia,2020.03.09,0
Adygea_Republic__Russia,2020.03.10,0
Adygea_Republic__Russia,2020.03.11,0
Adygea_Republic__Russia,2020.03.12,0
Adygea_Republic__Russia,2020.03.13,0
Adygea_Republic__Russia,2020.03.14,0
Adygea_Republic__Russia,2020.03.15,0
Adygea_Republic__Russia,2020.03.16,0
Adygea_Republic__Russia,2020.03.17,0
Adygea_Republic__Russia,2020.03.18,0
Adygea_Republic__Russia,2020.03.19,0
Adygea_Republic__Russia,2020.03.20,0
Adygea_Republic__Russia,2020.03.21,0
Adygea_Republic__Russia,2020.03.22,0
Adygea_Republic__Russia,2020.03.23,0
Adygea_Republic__Russia,2020.03.24,0
Adygea_Republic__Russia,2020.03.25,0
Adygea_Republic__Russia,2020.03.26,0
Adygea_Republic__Russia,2020.03.27,0
Adygea_Republic__Russia,2020.03.28,1
Adygea_Republic__Russia,2020.03.29,1
Adygea_Republic__Russia,2020.03.30,4
Adygea_Republic__Russia,2020.03.31,4
Adygea_Republic__Russia,2020.04.01,4
Adygea_Republic__Russia,2020.04.02,5
Adygea_Republic__Russia,2020.04.03,5
Adygea_Republic__Russia,2020.04.04,7
Adygea_Republic__Russia,2020.04.05,7
Adygea_Republic__Russia,2020.04.06,13
Adygea_Republic__Russia,2020.04.07,13
Adygea_Republic__Russia,2020.04.08,13
Adygea_Republic__Russia,2020.04.09,13
Adygea_Republic__Russia,2020.04.10,20
Adygea_Republic__Russia,2020.04.11,20
Adygea_Republic__Russia,2020.04.12,20
Adygea_Republic__Russia,2020.04.13,20
Adygea_Republic__Russia,2020.04.14,27
Adygea_Republic__Russia,2020.04.15,27
Adygea_Republic__Russia,2020.04.16,43
Adygea_Republic__Russia,2020.04.17,79
Adygea_Republic__Russia,2020.04.18,84
Adygea_Republic__Russia,2020.04.19,91
Adygea_Republic__Russia,2020.04.20,100
Adygea_Republic__Russia,2020.04.21,108
Adygea_Republic__Russia,2020.04.22,113
Adygea_Republic__Russia,2020.04.23,114
Adygea_Republic__Russia,2020.04.24,117
